verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"not-checkable","stevenson-street-milton","","","","anchor-compass","north","commercial-corridor","the main commercial corridors","false","false","hero ld-place sec:about","north of the main commercial corridors","Stevenson Street is a residential street in Milton's Beaty neighbourhood, a pocket of the town that sits west of the escarpment and north of the main commercial corridors."
"not-checkable","rutledge-way-milton","","","","proximity","none","other","the western arc","false","false","sec:gettingAround","By car the street is well placed for the western arc","By car the street is well placed for the western arc."
"not-refuted","ontario-street-milton","-2385","T1 town","street","town-compass","west","town","Milton","false","false","hero ld-place sec:about","Ontario Street runs through the western edge of Milton","Ontario Street runs through the western edge of Milton, where the town's older residential fabric meets the newer subdivisions pushing outward from the core."
"not-checkable","ontario-street-milton","","","","other-position","none","built-up-area","the town's older residential fabric and the newer subdivisions","false","false","hero ld-place sec:about","where the town's older residential fabric meets the newer subdivisions pushing outward from the core","Ontario Street runs through the western edge of Milton, where the town's older residential fabric meets the newer subdivisions pushing outward from the core."
"not-refuted","ontario-street-milton","-457","T1 downtown","street","anchor-compass","west","downtown","Old Milton","false","false","sec:about","Old Milton lies to the east, its shorter blocks and mature trees marking the historic centre","Old Milton lies to the east, its shorter blocks and mature trees marking the historic centre."
"not-checkable","ontario-street-milton","","","","anchor-compass","west","other","Ontario Street (implied)","false","false","sec:about","Dorset Park rounds out the western approach","Dorset Park rounds out the western approach."
"not-refuted","sherwood-road-milton","-3319","T1 town","polygon:Dempsey","town-compass","north","town","Milton","false","false","hero ld-place sec:about","the Dempsey neighbourhood in Milton's north end","Sherwood Road runs through the Dempsey neighbourhood in Milton's north end."
"not-checkable","van-allen-gate-milton","","","","anchor-compass","west","escarpment","the escarpment","false","false","hero ld-place sec:about","sits west of the escarpment","Van Allen Gate is a short residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and north of the older core."
"not-refuted","van-allen-gate-milton","-3179","T1 downtown","polygon:Dempsey","anchor-compass","north","downtown","the older core","false","false","hero ld-place sec:about","north of the older core","Van Allen Gate is a short residential street in Milton's Dempsey neighbourhood, a pocket of the town that sits west of the escarpment and north of the older core."
"MISPLACED","van-allen-gate-milton","-1071","T1 town","street","town-compass","west","town","Milton","false","false","sec:gettingAround","a street this far west in Milton","For a street this far west in Milton, the highway and the train are close to equally convenient, and the choice between them tends to come down to where the day is going."
"not-checkable","reichert-court-milton","","","","other-position","west","downtown","the older core","false","false","hero ld-place sec:about","fills the ground between the older core and the newer edges to the west","Reichert Court is a short residential court in Milton's Willmott neighbourhood, a pocket of the town that fills the ground between the older core and the newer edges to the west."
"not-refuted","reichert-court-milton","-2430","T1 town","street","town-compass","west","town","Milton","false","false","sec:about","a quiet, self-contained piece of the western town","It is a quiet, self-contained piece of the western town, and it reads that way from the sidewalk."
"negated-not-judged","20th-side-road-milton","","","","proximity","none","downtown","the core","true","false","sec:gettingAround","distance from the core","For a rural address, the trade is straightforward: distance from the core, but a clean line to the west and the airport."
"not-refuted","potts-terrace-milton","-2531","T1 downtown","polygon:Harrison","anchor-compass","west","downtown","the downtown core","false","false","hero ld-place sec:about","sits west of the downtown core","Potts Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
"not-checkable","potts-terrace-milton","","","","anchor-compass","north","escarpment","the escarpment lands","false","false","hero ld-place sec:about","north of the escarpment lands","Potts Terrace is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the downtown core and north of the escarpment lands."
